id,margin_of_error_not_hispanic_or_latino_white_alone,margin_of_error_total
271230346023,178,400
271230347011,191,362
271230347012,136,364
271230347013,272,382
271230347021,266,451
271230347022,148,362
271230347023,106,269
271230349001,209,228
271230349002,147,156
271230349003,219,216
271230350001,290,280
271230350002,135,137
271230350003,157,201
271230351001,210,253
271230351002,174,162
271230352001,184,169
271230352002,177,202
271230352003,135,163
271230353001,197,223
271230353002,201,197
271230353003,145,176
271230353004,164,178
271230355001,174,185
271230355002,153,165
271230357001,162,189
271230357002,165,193
271230358001,177,203
271230358002,112,205
271230358003,183,188
271230359001,63,98
271230360001,151,228
271230360002,199,207
271230361001,83,312
271230363001,169,174
271230363002,165,162
271230363003,140,142
271230363004,274,273
271230364001,167,181
271230364002,185,193
271230364003,110,110
271230364004,162,209
271230365001,166,191
271230365002,168,168
271230365003,126,127
271230365004,153,153
271230366001,175,183
271230366002,281,280
271230366003,111,102
271230366004,185,190
271230367001,155,176
271230367002,139,176
271230367003,285,354
271230367004,229,361
271230368001,180,290
271230368002,187,199
271230369001,140,119
271230369002,147,144
271230370001,123,208
271230370002,116,142
271230370003,166,171
271230370004,151,175
271230371001,149,331
271230371002,154,359
271230371003,136,271
271230371004,146,153
271230371005,166,263
271230372001,188,414
271230372002,170,210
271230372003,136,370
271230372004,205,428
271230372005,116,347
271230374021,125,183
271230374022,150,227
271230374023,187,298
271230374031,150,228
271230374032,228,366
271230374033,154,695
271230374034,321,396
271230374035,179,487
271230375001,250,376
271230375002,241,300
271230375003,186,183
271230375004,208,212
271230375005,219,259
271230375006,124,211
271230376011,299,365
271230376012,223,224
271230376013,299,289
271230376021,253,463
271230376022,182,209
271230376023,94,489
271230376024,472,487
271230401001,330,322
271230401002,162,164
271230401003,311,312
271230401004,259,259
271230401005,237,258
271230402001,129,129
271230402002,133,144
271230403011,120,207
271230403012,148,152
271230403021,413,419
271230403022,251,282
271230403023,378,389
271230404011,170,163
271230404012,202,202
271230404013,188,199
271230404021,322,337
271230404022,312,375
271230405021,191,194
271230405022,288,288
271230405023,183,185
271230405031,203,212
271230405032,197,225
271230405041,269,305
271230405042,249,255
271230406011,242,302
271230406012,215,223
271230406013,408,340
271230406031,314,348
271230406032,327,363
271230406033,278,284
271230406041,398,434
271230406042,233,282
271230406043,468,513
271230406044,431,476
271230406045,316,370
271230407031,325,380
271230407032,302,307
271230407033,245,251
271230407041,156,156
271230407042,429,375
271230407043,272,358
271230407051,194,210
271230407052,192,189
271230407061,125,124
271230407062,172,175
271230407063,231,225
271230407071,218,224
271230407072,188,196
271230407073,227,228
271230408011,161,243
271230408012,235,275
271230408021,222,212
271230408031,162,159
271230408032,243,241
271230408033,204,206
271230408034,192,197
271230409011,130,168
271230409012,118,189
271230409021,207,292
271230409022,242,243
271230410011,234,240
271230410012,248,265
271230410021,212,277
271230410022,229,237
271230411031,165,160
271230411032,142,157
271230411041,229,229
271230411042,198,222
271230411051,321,317
271230411052,229,259
