id,totalwhite,totalppl,under18,total18,built_after_2000,totalhu
270530118004,789,1166,345,1166,0,390
270530118005,969,1096,143,1096,0,529
270530119981,543,858,83,858,240,507
270530119982,535,601,154,601,0,250
270530119983,1129,1450,239,1450,0,645
270530119984,493,730,104,730,0,429
270530119985,512,560,121,560,10,266
270530120011,630,719,283,719,0,250
270530120012,565,999,268,999,0,386
270530120013,626,639,154,639,0,250
270530120014,943,1003,188,1003,0,503
270530120015,538,629,62,629,0,397
270530120016,755,796,156,796,0,353
270530120017,466,937,81,937,0,476
270530120031,280,502,134,502,0,255
270530120032,788,1272,221,1272,60,442
270530120033,1241,1311,346,1311,6,557
270530120034,168,767,348,767,0,260
270530120035,152,891,316,891,0,254
270530120036,586,799,87,799,0,420
270530121011,771,944,135,944,0,531
270530121012,294,1008,379,1008,12,338
270530121013,682,1036,238,1036,0,423
270530121021,602,649,74,649,0,322
270530121022,401,588,56,588,0,234
270530121023,439,462,27,462,0,266
270530121024,778,1140,300,1140,0,527
270530201011,1128,1326,378,1326,20,446
270530201012,915,1015,186,1015,0,423
270530201013,733,938,227,938,0,339
270530201021,859,897,274,897,16,361
270530201022,1000,1384,205,1384,35,807
270530202001,393,1070,239,1070,0,368
270530202002,382,841,199,841,0,259
270530202003,443,1856,595,1856,42,930
270530202004,382,643,113,643,15,217
270530202005,350,1065,312,1065,0,350
270530202006,190,757,309,757,0,299
270530202007,372,1564,669,1564,0,439
270530203011,575,1126,287,1126,6,415
270530203012,513,1523,552,1523,0,501
270530203021,466,1634,458,1634,0,651
270530203022,469,845,243,845,4,273
270530203031,341,843,210,843,12,285
270530203032,471,1524,380,1524,0,480
270530203033,634,1172,256,1172,0,460
270530203041,434,1755,554,1755,0,601
270530203042,267,766,186,766,0,248
270530203043,452,965,207,965,9,307
270530204001,242,583,160,583,0,224
270530204002,880,1536,375,1536,0,653
270530204003,787,1720,544,1720,8,608
270530204004,599,1257,254,1257,11,430
270530205001,707,1117,227,1117,5,433
270530205002,435,1183,276,1183,11,402
270530205003,662,1303,478,1303,0,397
270530206001,657,1310,346,1310,0,531
270530206002,427,927,345,927,5,337
270530207001,723,1088,183,1088,0,452
270530207002,570,1052,266,1052,18,334
270530207003,977,1078,251,1078,0,421
270530207004,880,1048,169,1048,69,483
270530208011,660,1072,286,1072,24,464
270530208012,702,932,208,932,16,415
270530208041,213,1244,317,1244,0,397
270530208042,833,1022,198,1022,0,425
270530208043,599,867,88,867,0,427
270530209021,1073,1227,301,1227,9,464
270530209022,845,992,198,992,0,436
270530209031,928,1167,209,1167,23,434
270530209032,482,610,81,610,8,261
270530209033,1164,1352,276,1352,58,554
270530210011,932,1822,342,1822,97,531
270530210012,851,1067,335,1067,18,481
270530210013,609,656,117,656,0,315
270530210014,729,1074,235,1074,0,559
270530210015,1242,1464,274,1464,0,618
270530210021,1520,1912,376,1912,41,895
270530211001,428,597,125,597,10,247
270530211002,1094,1375,290,1375,54,598
270530212001,582,783,155,783,10,389
270530212002,877,1130,249,1130,0,384
270530212003,976,1127,253,1127,0,455
270530212004,658,787,150,787,10,339
270530212005,464,801,190,801,0,400
270530213001,1157,1721,153,1721,28,1079
270530213002,691,950,122,950,0,530
270530213003,591,998,370,998,0,352
270530213004,778,946,210,946,125,434
270530214001,879,1066,248,1066,0,471
270530214002,819,1008,188,1008,0,487
270530214003,619,1157,380,1157,10,370
270530215011,939,1455,284,1455,32,662
270530215012,1107,1352,262,1352,0,475
270530215013,1068,1430,277,1430,35,553
270530215021,748,1847,630,1847,146,642
270530215022,647,734,34,734,0,306
270530215023,412,1245,324,1245,130,659
270530215031,725,1277,227,1277,0,695
270530215032,822,1254,255,1254,0,464
270530215033,881,975,237,975,0,473
270530215034,534,1439,554,1439,7,435
270530215041,474,839,148,839,0,476
270530215042,751,1049,261,1049,0,371
270530215043,654,820,161,820,0,277
270530215044,698,851,206,851,0,342
270530215051,914,1342,347,1342,7,531
270530215052,1352,1785,433,1785,0,727
270530215053,487,699,68,699,0,325
270530215054,474,680,130,680,8,302
270530216011,946,1093,239,1093,8,439
270530216012,1351,1957,289,1957,168,930
270530216013,946,1143,135,1143,85,544
270530216021,1189,1336,237,1336,101,713
270530216022,1298,1355,305,1355,76,600
270530216023,847,998,230,998,18,415
270530216024,777,1005,273,1005,0,324
270530216025,231,680,287,680,11,212
270530216026,717,950,165,950,17,421
270530217001,617,689,15,689,0,393
270530217002,625,649,133,649,0,338
270530217003,957,1156,169,1156,127,520
270530217004,925,1217,271,1217,17,561
270530217005,1048,1187,301,1187,0,403
270530218001,762,902,139,902,55,505
270530218002,1206,1414,327,1414,49,580
270530219001,1045,1204,169,1204,169,638
270530219002,578,812,198,812,16,326
270530219003,1304,1461,203,1461,9,571
270530220001,813,1038,122,1038,135,600
270530220002,557,620,10,620,0,440
270530221011,883,1094,271,1094,29,514
270530221012,996,1623,209,1623,34,856
270530221021,1004,1440,232,1440,0,645
270530221022,1064,1387,300,1387,14,691
270530222001,631,648,181,648,0,302
270530222002,1806,2069,158,2069,143,1228
270530222003,696,759,177,759,24,299
270530222004,1051,1105,194,1105,0,392
270530223011,885,1039,166,1039,28,449
270530223012,1151,1226,105,1226,95,687
270530223021,773,1307,333,1307,0,700
270530223022,809,876,83,876,130,376
270530223023,850,1104,301,1104,11,458
270530224001,570,600,62,600,13,306
270530224002,469,521,106,521,0,263
270530224003,921,1033,225,1033,11,428
270530224004,832,1652,479,1652,36,708
270530227001,1648,2544,475,2544,39,1249
270530227002,882,944,230,944,0,392
270530227003,683,882,201,882,0,356
270530228011,1097,1240,327,1240,21,503
270530228012,772,819,150,819,10,333
270530228021,1695,2094,121,2094,131,1343
270530228022,1146,1343,293,1343,25,656
270530229011,1086,1254,70,1254,171,960
270530229012,939,979,309,979,0,469
270530229013,1426,1694,162,1694,711,1359
270530229014,936,953,242,953,0,356
270530229021,562,597,130,597,11,282
270530229022,942,1043,299,1043,0,423
270530230001,1804,2054,232,2054,607,1123
270530230002,425,1172,185,1172,0,694
270530230003,1435,1526,398,1526,70,612
270530231001,1046,1190,408,1190,46,418
270530231002,648,680,222,680,34,256
270530232001,633,965,148,965,171,636
270530232002,815,967,105,967,32,455
270530232003,676,1720,335,1720,77,850
270530232004,280,758,87,758,0,336
270530232005,216,1546,376,1546,20,688
270530233001,965,1204,133,1204,26,671
270530233002,886,2213,630,2213,77,1087
