id,totalwhite,totalppl,over65,total65
270370610081,1169,1431,219,1431
270370610082,451,751,52,751
270370610091,2624,3191,143,3191
270370610092,2303,3041,309,3041
270370611021,830,879,107,879
270370611022,1535,1959,364,1959
270370611023,2043,2059,430,2059
270370611051,784,924,121,924
270370611052,1357,1425,246,1425
270370611061,1391,1503,245,1503
270370611062,1463,1503,366,1503
270370611071,1809,1939,268,1939
270370611072,4364,4619,869,4619
270370611081,1043,1063,90,1063
270370611082,1777,1835,263,1835
270370611083,2924,3400,340,3400
270530001011,374,1024,76,1024
270530001012,240,721,79,721
270530001013,285,594,86,594
270530001014,329,798,79,798
270530001021,588,1226,148,1226
270530001022,546,1257,137,1257
270530001023,406,980,139,980
270530001024,324,893,41,893
270530001025,298,966,47,966
270530003001,744,959,71,959
270530003002,485,845,125,845
270530003003,496,830,55,830
270530003004,478,498,30,498
270530006011,1081,1442,201,1442
270530006012,960,1146,80,1146
270530006013,1009,1866,77,1866
270530006014,571,644,98,644
270530006031,579,641,33,641
270530006032,609,742,91,742
270530006033,845,916,100,916
270530006034,506,528,84,528
270530011001,548,923,59,923
270530011002,879,1155,56,1155
270530017001,597,726,66,726
270530017002,804,1684,58,1684
270530022001,79,897,51,897
270530022002,118,609,38,609
270530024001,661,849,64,849
270530024002,1074,1518,173,1518
270530027001,246,1285,114,1285
270530027002,324,1506,164,1506
270530032001,233,768,75,768
270530032002,266,984,114,984
270530033001,82,1058,52,1058
270530033002,48,1427,67,1427
270530038001,1144,1319,16,1319
270530038002,2004,2555,45,2555
270530038003,1225,1719,61,1719
270530059011,664,1276,173,1276
270530059012,903,1803,493,1803
270530059021,636,1846,47,1846
270530059022,234,1504,43,1504
270530068001,788,1486,18,1486
270530068002,675,933,119,933
270530068003,1335,1777,51,1777
270530077001,520,1917,24,1917
270530077002,1676,2169,26,2169
270530078011,277,960,22,960
270530078012,181,1033,24,1033
270530081001,667,782,96,782
270530081002,628,697,90,697
270530081003,618,700,35,700
270530081004,977,1134,19,1134
270530082001,223,1827,344,1827
270530082002,637,1205,49,1205
270530082003,514,744,17,744
270530082004,326,727,82,727
270530083001,256,1714,63,1714
270530083002,310,505,13,505
270530084001,244,1004,18,1004
270530084002,428,1937,98,1937
270530085001,319,1367,51,1367
270530085002,394,890,15,890
270530085003,451,530,88,530
270530085004,411,1303,0,1303
270530085005,489,1168,82,1168
270530095001,278,1210,132,1210
270530095002,211,633,43,633
270530095003,748,1081,91,1081
270530096001,493,837,49,837
270530096002,518,996,68,996
270530096003,730,914,9,914
270530096004,521,725,31,725
270530106001,559,796,159,796
270530106002,1076,1173,113,1173
270530106003,865,962,92,962
270530107001,604,677,82,677
270530107002,803,991,140,991
270530107003,747,856,81,856
270530110001,502,883,44,883
270530110002,533,702,122,702
270530110003,791,834,68,834
270530110004,1137,1243,146,1243
270530117031,665,773,48,773
270530117032,680,748,94,748
270530117033,827,1082,113,1082
270530117034,702,834,57,834
270530117035,804,903,159,903
270530117041,899,1040,78,1040
270530117042,713,750,94,750
270530117043,1077,1427,142,1427
270530118001,847,1000,128,1000
270530118002,857,970,130,970
270530118003,618,660,120,660
270530118004,789,1166,44,1166
270530118005,969,1096,128,1096
270530119981,543,858,136,858
270530119982,535,601,114,601
270530119983,1129,1450,218,1450
270530119984,493,730,262,730
270530119985,512,560,57,560
270530120011,630,719,68,719
270530120012,565,999,137,999
270530120013,626,639,98,639
270530120014,943,1003,113,1003
270530120015,538,629,74,629
270530120016,755,796,117,796
270530120017,466,937,115,937
270530120031,280,502,130,502
270530120032,788,1272,25,1272
270530120033,1241,1311,294,1311
270530120034,168,767,2,767
270530120035,152,891,0,891
270530120036,586,799,62,799
270530121011,771,944,71,944
270530121012,294,1008,12,1008
270530121013,682,1036,77,1036
270530121021,602,649,129,649
270530121022,401,588,39,588
270530121023,439,462,62,462
270530121024,778,1140,94,1140
270530201011,1128,1326,199,1326
270530201012,915,1015,183,1015
270530201013,733,938,204,938
270530201021,859,897,130,897
270530201022,1000,1384,406,1384
270530202001,393,1070,112,1070
270530202002,382,841,55,841
270530202003,443,1856,199,1856
270530202004,382,643,80,643
270530202005,350,1065,144,1065
270530202006,190,757,30,757
270530202007,372,1564,119,1564
270530203011,575,1126,157,1126
270530203012,513,1523,143,1523
270530203021,466,1634,139,1634
270530203022,469,845,174,845
270530203031,341,843,87,843
