id,totalppl
270370608212,847
270370608213,2272
270370608221,1352
270370608231,2768
270370608232,1066
270370608241,1604
270370608242,2055
270370608251,2769
270370608252,2185
270370608253,1989
270370608261,2992
270370608262,1694
270370608263,2958
270370608281,4252
270370608291,3179
270370609021,4946
270370609041,490
270370609042,1381
270370609043,1546
270370609051,5502
270370609061,3266
270370609071,5831
270370609072,1608
270370610031,1578
270370610041,2621
270370610042,3590
270370610051,1921
270370610052,666
270370610071,2979
270370610072,1705
270370610081,1431
270370610082,751
270370610091,3191
270370610092,3041
270370611021,879
270370611022,1959
270370611023,2059
270370611051,924
270370611052,1425
270370611061,1503
270370611062,1503
270370611071,1939
270370611072,4619
270370611081,1063
270370611082,1835
270370611083,3400
270530001011,1024
270530001012,721
270530001013,594
270530001014,798
270530001021,1226
270530001022,1257
270530001023,980
270530001024,893
270530001025,966
270530003001,959
270530003002,845
270530003003,830
270530003004,498
270530006011,1442
270530006012,1146
270530006013,1866
270530006014,644
270530006031,641
270530006032,742
270530006033,916
270530006034,528
270530011001,923
270530011002,1155
270530017001,726
270530017002,1684
270530022001,897
270530022002,609
270530024001,849
270530024002,1518
270530027001,1285
270530027002,1506
270530032001,768
270530032002,984
270530033001,1058
270530033002,1427
270530038001,1319
270530038002,2555
270530038003,1719
270530059011,1276
270530059012,1803
270530059021,1846
270530059022,1504
270530068001,1486
270530068002,933
270530068003,1777
270530077001,1917
270530077002,2169
270530078011,960
270530078012,1033
270530081001,782
270530081002,697
270530081003,700
270530081004,1134
270530082001,1827
270530082002,1205
270530082003,744
270530082004,727
270530083001,1714
270530083002,505
270530084001,1004
270530084002,1937
270530085001,1367
270530085002,890
270530085003,530
270530085004,1303
270530085005,1168
270530095001,1210
270530095002,633
270530095003,1081
270530096001,837
270530096002,996
270530096003,914
270530096004,725
270530106001,796
270530106002,1173
270530106003,962
270530107001,677
270530107002,991
270530107003,856
270530110001,883
270530110002,702
270530110003,834
270530110004,1243
270530117031,773
270530117032,748
270530117033,1082
270530117034,834
270530117035,903
270530117041,1040
270530117042,750
270530117043,1427
270530118001,1000
270530118002,970
270530118003,660
270530118004,1166
270530118005,1096
270530119981,858
270530119982,601
270530119983,1450
270530119984,730
270530119985,560
270530120011,719
270530120012,999
270530120013,639
270530120014,1003
270530120015,629
270530120016,796
270530120017,937
270530120031,502
270530120032,1272
270530120033,1311
270530120034,767
270530120035,891
270530120036,799
270530121011,944
270530121012,1008
270530121013,1036
270530121021,649
270530121022,588
270530121023,462
270530121024,1140
270530201011,1326
270530201012,1015
270530201013,938
270530201021,897
270530201022,1384
270530202001,1070
270530202002,841
270530202003,1856
270530202004,643
270530202005,1065
270530202006,757
270530202007,1564
270530203011,1126
270530203012,1523
270530203021,1634
270530203022,845
270530203031,843
270530203032,1524
270530203033,1172
270530203041,1755
270530203042,766
270530203043,965
270530204001,583
270530204002,1536
270530204003,1720
270530204004,1257
270530205001,1117
270530205002,1183
270530205003,1303
270530206001,1310
270530206002,927
270530207001,1088
270530207002,1052
270530207003,1078
270530207004,1048
270530208011,1072
270530208012,932
270530208041,1244
270530208042,1022
270530208043,867
270530209021,1227
270530209022,992
270530209031,1167
270530209032,610
270530209033,1352
270530210011,1822
270530210012,1067
270530210013,656
270530210014,1074
270530210015,1464
270530210021,1912
270530211001,597
270530211002,1375
270530212001,783
270530212002,1130
270530212003,1127
270530212004,787
270530212005,801
270530213001,1721
270530213002,950
270530213003,998
270530213004,946
270530214001,1066
270530214002,1008
270530214003,1157
270530215011,1455
270530215012,1352
270530215013,1430
270530215021,1847
270530215022,734
270530215023,1245
270530215031,1277
270530215032,1254
270530215033,975
270530215034,1439
270530215041,839
270530215042,1049
270530215043,820
270530215044,851
270530215051,1342
270530215052,1785
270530215053,699
270530215054,680
270530216011,1093
270530216012,1957
270530216013,1143
270530216021,1336
270530216022,1355
270530216023,998
270530216024,1005
270530216025,680
270530216026,950
270530217001,689
270530217002,649
270530217003,1156
270530217004,1217
270530217005,1187
270530218001,902
270530218002,1414
270530219001,1204
270530219002,812
270530219003,1461
270530220001,1038
270530220002,620
270530221011,1094
270530221012,1623
270530221021,1440
270530221022,1387
270530222001,648
270530222002,2069
270530222003,759
270530222004,1105
270530223011,1039
270530223012,1226
270530223021,1307
270530223022,876
270530223023,1104
270530224001,600
270530224002,521
270530224003,1033
270530224004,1652
270530227001,2544
270530227002,944
270530227003,882
270530228011,1240
270530228012,819
270530228021,2094
270530228022,1343
270530229011,1254
270530229012,979
270530229013,1694
270530229014,953
270530229021,597
270530229022,1043
270530230001,2054
270530230002,1172
270530230003,1526
270530231001,1190
270530231002,680
270530232001,965
270530232002,967
270530232003,1720
270530232004,758
270530232005,1546
270530233001,1204
270530233002,2213
270530233003,1132
270530233004,1323
270530234001,1857
270530234002,469
270530234003,1261
270530234004,1152
