GEOID_BG,GEOID_TR,RID
270530260221,27053026022,548
270030508183,27003050818,605
270030508161,27003050816,312
270030504011,27003050401,26
270030502271,27003050227,253
270030504012,27003050401,546
270530260222,27053026022,102
270530260192,27053026019,412
270530261041,27053026104,157
270530260223,27053026022,548
270530263023,27053026302,104
270530262022,27053026202,167
270530268191,27053026819,310
270030502272,27003050227,26
270030505011,27003050501,700
270030504022,27003050402,253
270030502301,27003050230,324
270030502371,27003050237,281
270030502362,27003050236,281
271230306021,27123030602,86
271230365004,27123036500,401
271230349003,27123034900,169
271230405023,27123040502,456
271230426011,27123042601,541
270530262012,27053026201,493
270530263012,27053026301,613
270530263011,27053026301,613
270530264043,27053026404,81
270530266121,27053026612,454
270530267121,27053026712,261
270530265121,27053026512,639
270530248022,27053024802,126
270030504023,27003050402,125
270030508213,27003050821,233
270030508211,27003050821,233
270030508201,27003050820,22
270030508202,27003050820,22
270030508212,27003050821,233
270030507041,27003050704,680
270030506103,27003050610,339
270030507021,27003050702,116
270530266124,27053026612,672
270530266051,27053026605,307
270530266052,27053026605,406
270530266131,27053026613,53
270530267071,27053026707,174
270530267112,27053026711,488
270530267141,27053026714,568
270030508131,27003050813,475
270030510011,27003051001,475
270030508102,27003050810,585
270030508133,27003050813,184
270030509012,27003050901,184
270030510012,27003051001,248
270030512061,27003051206,230
270030508181,27003050818,16
270530267161,27053026716,488
270530268111,27053026811,57
270530268122,27053026812,372
270530268232,27053026823,372
270530203011,27053020301,57
270530268222,27053026822,77
270530269084,27053026908,70
270530268203,27053026820,329
270030508191,27003050819,312
270030508192,27003050819,312
270030506061,27003050606,455
270030508182,27003050818,16
270030504021,27003050402,253
270530272031,27053027203,462
270530272033,27053027203,314
270530272015,27053027201,314
270530275041,27053027504,651
270530275031,27053027503,651
270531261002,27053126100,351
270030502231,27003050223,384
270030502332,27003050233,281
270030502372,27003050237,368
270030505053,27003050505,26
270531075001,27053107500,649
270531090001,27053109000,654
270531056001,27053105600,446
270530265103,27053026510,6
270530264042,27053026404,81
270530264022,27053026402,150
270530264031,27053026403,81
270530268121,27053026812,372
270531002003,27053100200,173
270530006011,27053000601,7
270530024002,27053002400,351
270531025003,27053102500,497
270530033002,27053003300,71
270531052012,27053105201,446
270531054002,27053105400,288
270530110004,27053011000,434
270530120033,27053012003,14
270530119983,27053011998,434
270531115002,27053111500,14
270531115004,27053111500,14
270530209033,27053020903,397
270530222002,27053022200,150
270530240062,27053024006,60
270530239013,27053023901,523
270530257016,27053025701,47
271630705021,27163070502,258
270530260153,27053026015,102
270530260202,27053026020,59
270530260211,27053026021,548
270530266091,27053026609,131
270530262083,27053026208,19
270530266132,27053026613,252
270530267154,27053026715,371
270530265092,27053026509,12
270530266063,27053026606,82
270530267061,27053026706,174
270530268223,27053026822,124
270530268233,27053026823,372
270530268231,27053026823,124
270530268192,27053026819,463
270531257003,27053125700,558
270531012003,27053101200,100
270370607092,27037060709,237
271230303004,27123030300,205
271230424024,27123042402,62
271390806002,27139080600,280
270370607093,27037060709,237
270370607102,27037060710,237
270370607131,27037060713,271
270370607502,27037060750,398
270370607252,27037060725,123
270370607261,27037060726,226
270370607272,27037060727,358
270370607301,27037060730,18
270370607302,27037060730,18
270370607332,27037060733,27
270370607333,27037060733,213
270370607352,27037060735,117
270370607412,27037060741,479
270370605054,27037060505,268
270370608151,27037060815,273
270370608162,27037060816,273
270370608171,27037060817,335
270370608181,27037060818,273
270370608191,27037060819,335
270370608201,27037060820,366
270370608221,27037060822,193
270370608241,27037060824,418
270370608252,27037060825,440
270370610031,27037061003,440
270370611021,27037061102,450
270370607212,27037060721,117
270370607091,27037060709,603
270370601014,27037060101,495
270370611051,27037061105,204
270370601021,27037060102,563
270370607321,27037060732,436
270370601022,27037060102,219
270370608122,27037060812,407
270370601031,27037060103,219
270370604022,27037060402,88
270370611023,27037061102,450
270370611052,27037061105,675
270370611071,27037061107,622
270370611072,27037061107,609
270370611081,27037061108,204
270370611082,27037061108,675
270370611083,27037061108,675
270370607342,27037060734,213
270370608212,27037060821,366
270370602021,27037060202,387
270370602022,27037060202,601
270370603011,27037060301,147
270370603012,27037060301,147
270370603014,27037060301,387
270370604021,27037060402,110
270370605023,27037060502,110
